"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"1435";"Panicum miliaceum";4098;"PNCMMIL";"SPE";"S";"Panicum miliaceum";"";"4b";3;3;"";"AS";"z adventiv oder verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1436";"Panicum riparium";32394;"PNCMBAR";"SPE";"S";"Panicum riparium";"N";"2";2;3;"";"vermutlich in M-EUR entstanden";"ss";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1437";"Papaver argemone";4108;"PPVRARG";"SPE";"S";"Papaver argemone";"A";"3";3;2;"x";"";"v >";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1438";"Papaver hybridum";4114;"PPVRHYB";"SPE";"S";"Papaver hybridum";"";"4b";3;3;"";"Mittelmeergebiet, W-EUR, südl. Mittel-EUR bis Vorder-AS";"s adventiv";"k. A.";NA;"";"";"!";"";NA;"";"";"";2;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1439";"Papaver orientale";10703;"PPVRORI";"SPE";"S";"Papaver orientale";"I";"4b";4;3;"";"Vorder-AS, Kaukasus";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1440";"Papaver rhoeas";4115;"PPVRRHO";"SPE";"S";"Papaver rhoeas";"A";"3";3;2;"x";"";"v, fr g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1441";"Papaver somniferum";4116;"PPVRSOM";"SPE";"S";"Papaver somniferum";"";"4b";3;3;"";"unbekannt, vermutlich im westl. Mittelmeergebiet entstanden";"z adventiv oder verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1442";"Parapholis strigosa";4119;"PRPHSTR";"SPE";"S";"Parapholis strigosa";"I";"1";1;1;"O x";"";"s";"2";86;"!";"!";"!";"";5;"!!";"1";"3";3;"";"";5;"!!";"O14.1";1330;NA;NA;NA;"";"";"xx";"3.4.6";"KGS";"Halophile Pionierflur, quellerarm";"§ 20";"8.04";"L15";"KGA, KGD";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";"Naturschutzgerechte Grünlandnutzung"
"1443";"Parentucellia viscosa";6904;"PRNTVIS";"SPE";"S";"Parentucellia viscosa";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1444";"Parietaria judaica";4121;"PRTRJUD";"SPE";"S";"Parietaria judaica";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1445";"Parietaria officinalis";4122;"PRTROFF";"SPE";"S";"Parietaria officinalis";"A";"3";4;2;"N x";"";"s, fr z";"2";NA;"";"";"";"";NA;"";"1";"2";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1446";"Parietaria pensylvanica";4123;"PRTRPEN";"SPE";"S";"Parietaria pensylvanica";"I";"4b";3;3;"";"N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1447";"Paris quadrifolia";4124;"PARSQUA";"SPE";"S";"Paris quadrifolia";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1448";"Parnassia palustris";4125;"PRNSPAL";"SPE";"S";"Parnassia palustris";"I";"1";1;1;"x";"";"z, fr v";"2";237;"";"";"";"§";1;"!";"2";"";3;"";"§";7;"!!";"UK12b, 12.2.4.1";6410;7140;7220;NA;"";"";"xx";"9.1.3";"GFP";"Pfeifengraswiese auf Moor- und Sumpfstandorten";"§ 20";"35.02.01";"L11";"MZK, MZB, VQT";"";"M2";"Pflegende Nutzung schwach entwässerter Moore mit Feuchtgrünland";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Moorschonende Nutzung"
"1449";"Parthenocissus inserta";4132;"PRTHINS";"SPE";"S";"Parthenocissus inserta";"";"4a";4;3;"";"N-AM";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1450";"Pastinaca sativa subsp. sativa";4137;"PSTNS-S";"SSP";"S";"Pastinaca sativa subsp. sativa";"I";"3";3;2;"x";"";"v <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1451";"Pastinaca sativa subsp. urens";4139;"PSTNS-U";"SSP";"S";"Pastinaca sativa subsp. urens";"I";"4b";3;3;"";"vermutlich Mittelmeergebiet, Balkan bis Transkaukasien";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1452";"Pedicularis palustris subsp. opsiantha";13829;"PDCLP-O";"SSP";"S";"Pedicularis palustris subsp. opsiantha";"I";"1";1;1;"SW x oder Vp";"";"fr ss";"0";NA;"";"!!!";"!";"§";NA;"[!]";"D";"";2;"";"§";NA;"(!)";"UK12b";NA;NA;NA;NA;"7230";"";"";"9.1.1";"GFM";"Nasswiese mesotropher Moor- und Sumpfstandorte";"§ 20";"35.02.03.01
35.02.03.02";"L11";"";"MZB, MZK";"M2";"Pflegende Nutzung schwach entwässerter Moore mit Feuchtgrünland";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Moorschonende Nutzung"
"1453";"Pedicularis palustris subsp. palustris";13828;"PDCLP-P";"SSP";"S";"Pedicularis palustris subsp. palustris";"I";"1";1;1;"x";"";"s, fr v";"2";125;"";"";"!";"§";3;"!!";"2";"";2;"";"§";1;"";"UK12b";7140;7230;NA;NA;"";"";"xx";"9.1.1";"GFM";"Nasswiese mesotropher Moor- und Sumpfstandorte";"§ 20";"35.02.03.01
35.02.03.02";"L11";"MZB, MZK";"";"M2";"Pflegende Nutzung schwach entwässerter Moore mit Feuchtgrünland";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Moorschonende Nutzung"
"1454";"Pedicularis sceptrum-carolinum";4170;"PDCLSCE";"SPE";"S";"Pedicularis sceptrum-carolinum";"I";"1";1;1;"SW x";"";"fr s";"0";NA;"";"";"!!!";"§§";NA;"[!!!]";"0";"1";2;"";"§§";NA;"(!)";"-";NA;NA;NA;NA;"7230";"";"";"7.3.2";"MZK";"Kalk-Zwischenmoor";"§ 20";"36.02.01";"W42";"";"MZB";"M1";"Ungestörte Naturentwicklung schwach bis mäßig entwässerter Moore";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"flankierende Maßnahmen gegen Verfilzung der Vegetationsdecke";"Schutzgebiete"
"1455";"Pedicularis sylvatica subsp. sylvatica";28150;"PDCLS-S";"SSP";"S";"Pedicularis sylvatica";"I";"1";1;1;"x";"";"s, fr z";"1";39;"!";"";"!!";"§";6;"!!!";"1";"2";3;"";"§";1;"";"20.1.1.2";6230;7120;7140;NA;"";"";"xx";"8.8.1";"TBB";"Borstgrasrasen";"§ 20";"34.06";"T11, T12, T13";"MDH";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"1456";"Peplis portula";4176;"PPLSPOR";"SPE";"S";"Peplis portula";"I";"1";1;1;"x";"";"z, fr v";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1457";"Petasites albus";4178;"PTSTALB";"SPE";"S";"Petasites albus";"I";"2";4;3;"D";"";"s";"R";NA;"";"";"";"";NA;"";"1";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1458";"Petasites hybridus";4180;"PTSTHYB";"SPE";"S";"Petasites hybridus";"I";"2";4;3;"fehlt";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1459";"Petasites spurius";4183;"PTSTSPU";"SPE";"S";"Petasites spurius";"I";"1";1;1;"W x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"(!)";"26.4.1.3";1230;NA;NA;NA;"";"";"xx";"3.7.2";"KDW";"Weißdüne";"§ 20";"10.02";"W75";"KKA, KKI, KKK, KKS, RHK";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"1460";"Petrorhagia prolifera";4187;"PTRRPRO";"SPE";"S";"Petrorhagia prolifera";"I";"2";2;2;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"2";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1461";"Petrorhagia saxifraga";4189;"PTRRSAX";"SPE";"S";"Petrorhagia saxifraga";"";"4a";4;3;"";"Mittelmeergebiet bis N-Persien, südl. M-EUR";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1462";"Petroselinum crispum";4190;"PTRSCRI";"SPE";"S";"Petroselinum crispum";"I";"4b";4;3;"";"Mittelmeergebiet";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1463";"Peucedanum cervaria";4195;"PCDNCER";"SPE";"S";"Peucedanum cervaria";"I";"3";2;2;"N x";"";"ss";"1";NA;"";"";"";"";NA;"";"0";"2";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1464";"Peucedanum oreoselinum";4198;"PCDNORE";"SPE";"S";"Peucedanum oreoselinum";"I";"1";1;1;"NW x";"";"z >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1465";"Peucedanum palustre";4200;"PCDNPAL";"SPE";"S";"Peucedanum palustre";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1466";"Phacelia tanacetifolia";4204;"PHCLTAN";"SPE";"S";"Phacelia tanacetifolia";"";"4b";4;3;"";"Kalifornien";"v verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1467";"Phalaris arundinacea";4206;"PHLRARU";"SPE";"S";"Phalaris arundinacea";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1468";"Phalaris canariensis";4208;"PHLRCAN";"SPE";"S";"Phalaris canariensis";"";"4b";3;3;"";"westl. Mittelmeergebiet";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1469";"Phalaris minor";4210;"PHLRMIN";"SPE";"S";"Phalaris minor";"";"4b";3;3;"";"Mittelmeergebiet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1470";"Phalaris paradoxa";4211;"PHLRPAR";"SPE";"S";"Phalaris paradoxa";"";"4b";3;3;"";"Mittelmeergebiet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1471";"Pharbitis hederacea";93800;"PHRBHED";"SPE";"S";"Pharbitis hederacea";"";"4b";3;3;"";"S-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1472";"Pharbitis purpurea";23064;"PHRBPUR";"SPE";"S";"Pharbitis purpurea";"";"4b";3;3;"";"trop. AM";"s adventiv oder verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1473";"Phegopteris connectilis";23065;"PHGPCON";"SPE";"S";"Phegopteris connectilis";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"KD30,33,34";NA;NA;NA;NA;"9130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1474";"Philadelphus coronarius";4212;"PHLDCOR";"SPE";"S";"Philadelphus coronarius";"I";"4b";4;3;"";"SO-EUR bis Vorder-AS";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1475";"Phleum arenarium";4218;"PHLMARE";"SPE";"S";"Phleum arenarium";"I";"1";1;1;"O x";"";"s";"2";87;"!";"";"!!";"";5;"!!";"1";"2";2;"";"";5;"!!";"O21.2, 21.2.1.1";2130;NA;NA;NA;"";"";"xx";"3.7.3";"KDG";"Dünenrasen (Graudüne)";"§ 20";"10.03";"-";"";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"1476";"Phleum bertolonii";4224;"PHLMNOD";"SPE";"S";"Phleum bertolonii";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1477";"Phleum echinatum";4219;"PHLMECH";"SPE";"S";"Phleum echinatum";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1478";"Phleum paniculatum";4221;"PHLMPAN";"SPE";"S";"Phleum paniculatum";"";"4b";3;3;"";"W-EUR, Mittelmeergebiet bis Kaukasusländer, Afghanistan";"ss adventiv";"k. A.";NA;"";"";"!";"";NA;"";"";"";2;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1479";"Phleum phleoides";4222;"PHLMPHL";"SPE";"S";"Phleum phleoides";"I";"1";1;1;"NW x";"";"z >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1480";"Phragmites australis";4229;"PHRGAUS";"SPE";"S";"Phragmites australis";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1481";"Phyllitis scolopendrium";4232;"ASPLSCO";"SPE";"S";"Phyllitis scolopendrium";"N";"3";4;3;"fehlt";"";"ss";"R";NA;"";"";"";"§";NA;"";"";"";NA;"";"§";NA;"(!)";"-";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"11.1.10";"XGM";"Fels- und Mauerfluren";"-";"-";"";"";"";"o";"Erhalt der Struktur einschließlich seines Mikroklimas";"";"";"Landschaftspflege"
"1482";"Physalis alkekengi";4233;"PHYSALK";"SPE";"S";"Physalis alkekengi";"";"4a";4;3;"D";"";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1483";"Physalis angulata";6910;"PHYSANG";"SPE";"S";"Physalis angulata";"";"4b";3;3;"";"AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1484";"Physalis ixocarpa";93804;"PHYSIXO";"SPE";"S";"Physalis ixocarpa";"";"4b";3;3;"";"N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1485";"Physalis peruviana";6912;"PHYSPER";"SPE";"S";"Physalis peruviana";"";"4b";4;3;"";"S-AM";"s verwildert oder adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1486";"Phytolacca esculenta";23093;"PHYRESC";"SPE";"S";"Phytolacca esculenta";"";"4a";4;3;"";"China, Korea, Japan";"s verwildert oder adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1487";"Picea abies";4269;"PICEABI";"SPE";"S";"Picea abies";"I";"2";4;3;"D";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1488";"Picea sitchensis";6914;"PICESIT";"SPE";"S";"Picea sitchensis";"";"4a";4;3;"";"N-AM";"z";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1489";"Picris echioides";4271;"HLMNECH";"SPE";"S";"Picris echioides";"";"4b";3;3;"";"Mittelmeergebiet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1490";"Picris hieracioides subsp. hieracioides";6916;"PCRSH-H";"SSP";"S";"Picris hieracioides subsp. hieracioides";"I";"2";1;2;"x";"";"z <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1491";"Picris hieracioides subsp. spinulosa";6917;"PCRSH-S";"SSP";"S";"Picris hieracioides subsp. spinulosa";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1492";"Pilularia globulifera";4276;"PLLRGLO";"SPE";"S";"Pilularia globulifera";"I";"1";1;1;"O x";"";"ss, fr s";"1";71;"";"";"!!!";"";4;"!!!";"0";"1";3;"";"";8;"!!!";"09.1.2.1";2190;3130;NA;NA;"";"";"xx";"6.6.8";"VSL";"Strandlingsflur";"(§ 20)";"23.08.04, 24.08.04";"-";"KTN";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"Sicherung der Wasserqualität naturnaher Gewässer";"";"WRRL, Schutzgebiete"
"1493";"Pimpinella anisum";27305;"PMPNANI";"SPE";"S";"Pimpinella anisum";"I";"4b";4;3;"";"vermutlich Orient";"fr s verwildert, j s adventi";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1494";"Pimpinella major";4277;"PMPNMAJ";"SPE";"S";"Pimpinella major";"I";"3";2;2;"x";"";"v";"V";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1495";"Pimpinella peregrina";10722;"PMPNPER";"SPE";"S";"Pimpinella peregrina";"";"4b";3;3;"";"Mediterrangebiet";"s adventiv und verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1496";"Pimpinella saxifraga subsp. saxifraga";10723;"PMPNSAX";"SSP";"S";"Pimpinella saxifraga subsp. saxifraga";"I";"1";1;1;"x";"";"v";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1497";"Pinguicula vulgaris";4289;"PNGCVUL";"SPE";"S";"Pinguicula vulgaris";"I";"1";1;1;"x";"";"s, fr z";"2";238;"";"";"";"§";1;"!";"2";"";3;"";"§";5;"!!";"UK12b";7230;NA;NA;NA;"";"";"xx";"7.3.2";"MZK";"Kalk-Zwischenmoor";"§ 20";"36.02.01";"W42";"";"";"M1";"Ungestörte Naturentwicklung schwach bis mäßig entwässerter Moore";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"flankierende Maßnahmen gegen Verfilzung der Vegetationsdecke";"Schutzgebiete"
"1498";"Pinus sylvestris";4298;"PINSSYL";"SPE";"S";"Pinus sylvestris";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1499";"Pistia stratiotes";6922;"PISTSTR";"SPE";"S";"Pistia stratiotes";"";"4b";4;3;"";"Tropen und Subtropen";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1500";"Plantago arenaria";23146;"PLNEARE";"SPE";"S";"Plantago arenaria";"N";"3";2;2;"N Vp";"";"s";"1";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1501";"Plantago coronopus";4317;"PLNECOR";"SPE";"S";"Plantago coronopus";"I";"1";1;1;"x";"";"z";"3";223;"";"!!";"";"";2;"!";"2";"";NA;"";"";5;"!!";"V14.1.1";NA;NA;NA;NA;"1330";"";"xx";"3.4.6";"KGS";"Halophile Pionierflur, quellerarm";"§ 20";"8.04";"L15";"KGA, KGD";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";"Naturschutzgerechte Grünlandnutzung"
"1502";"Plantago lanceolata";4320;"PLNELAN";"SPE";"S";"Plantago lanceolata";"A";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1503";"Plantago media";4333;"PLNEMED";"SPE";"S";"Plantago media";"I";"3";2;2;"x";"";"z";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1504";"Plantago uliginosa";23163;"PLNEULI";"SPE";"S";"Plantago uliginosa";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1505";"Plantago winteri";15354;"PLNEM-W";"SPE";"S";"Plantago winteri";"I";"1";1;1;"x";"";"S";"u";285;"";"";"!";"";2;"-";"";"";2;"";"";5;"!!";"V14.2.2";1340;NA;NA;NA;"";"";"x";"9.4.1";"GHG";"Salzgrünland des Binnenlandes";"§ 20";"35.03";"L15";"";"KGO, KGD";"B2";"Pflegende Nutzung stark wasserbeeinflusster Grünlandbereiche";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Naturschutzgerechte Grünlandnutzung"
"1506";"Platanthera bifolia subsp. graciliflora";6504;"PLTNBIF";"SSP";"S";"Platanthera bifolia subsp. graciliflora";"I";"3";1;1;"NO x";"";"s >, fr z";"1";201;"";"";"";"§";1;"!!";"2";"";3;"";"§ C";4;"!";"KD12,20";9150;NA;NA;NA;"";"";"x";"";"WBO";"Buchenwald trockener bis mäßig frischer Kreide-Standorte";"(§ 20)";"43.08.02, 
43.08.03";"B 11, B12";"";"WBW";"W1";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"1507";"Platanthera bifolia subsp. latiflora";25177;"PLTNBIF";"SSP";"S";"Platanthera bifolia subsp. latiflora";"I";"1";1;1;"x";"";"s >, fr z";"1";202;"";"";"";"§";1;"!!";"2";"";3;"";"§ C";4;"!";"34.2.3.1";NA;NA;NA;NA;"9130";"";"";"";"WBW";"Frischer bis trockener Buchenwald kräftiger Standorte";"(§ 20)";"43.07.05.01";"B 11, B12";"";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"1508";"Platanthera chlorantha";4339;"PLTNCHL";"SPE";"S";"Platanthera chlorantha";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1509";"Poa angustifolia";4367;"POA ANG";"SPE";"S";"Poa angustifolia";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
